,site,plot,tag,species,dbh,high.rep,molecular,longitude,latitude,time.point,days_elapsed,years_elapsed,litterMass,dowelMass,mass.loss.litter,percent.loss.litter,mass.loss.dowel,percent.loss.dowel,k_litter,VWC,pH,WHC,SIR,soil.N,soil.C,soil.CN,litter.d15N,litter.d13C,litter.N,litter.C,litter.CN,lignin.N
58,BART,13,84,FAGR,42.8,FALSE,FALSE,-71.28468799,44.06149491,2,649,1.778082192,0.864,0.1111,4.762660498,84.64453293,2.0309,94.81325864,1.05377503,11.33333333,4.15,0.65880271,12.42478212,0.505066036,19.81413251,39.23077598,-2.6,-29.1,0.7,46.6,66.57142857,34.14285714
59,BART,14,86,ACRU,49.8,FALSE,FALSE,-71.28454791,44.06133529,2,649,1.778082192,3.5216,1.291,2.10897665,37.45578439,0.626,32.6551904,0.263934047,21.44444444,4.24,0.737361855,14.12693199,0.880652146,24.62673154,27.96419862,-6,-28.1,0.6,48.7,81.16666667,25.5
60,BART,14,87,ACRU,49.8,FALSE,FALSE,-71.28454791,44.06133529,1,299,0.819178082,4.226198929,2.27595903,1.499811223,26.19295431,-0.07095903,-3.21809662,0.370756976,21.44444444,4.24,0.737361855,14.12693199,0.880652146,24.62673154,27.96419862,-6,-28.1,0.6,48.7,81.16666667,25.5
61,BART,15,90,TSCA,46.1,FALSE,FALSE,-71.28415742,44.06132238,1,299,0.819178082,3.449187177,2.189449677,2.354091511,40.56485373,-0.002449677,-0.112010851,0.635129843,10.66666667,4.65,0.521112686,8.816694603,0.364722749,10.38278035,28.46759729,-2.5,-31.8,1.3,49.6,38.15384615,13.07692308
62,BART,16,91,TSCA,69.7,FALSE,FALSE,-71.28375561,44.06265077,2,649,1.778082192,2.7183,1.0879,3.15771938,53.73909063,1.1711,51.8415228,0.433541754,11.26666667,4.28,0.689684883,9.505300529,0.591626439,19.73053046,33.34964287,-3.5,-32.9,1.2,50.1,41.75,14.16666667
63,BART,16,92,TSCA,69.7,FALSE,FALSE,-71.28375561,44.06265077,1,299,0.819178082,3.49349362,2.336149513,2.261370721,39.29494401,-0.014149513,-0.609367506,0.609321963,11.26666667,4.28,0.689684883,9.505300529,0.591626439,19.73053046,33.34964287,-3.5,-32.9,1.2,50.1,41.75,14.16666667
64,BART,17,522,ACRU,53.1,TRUE,TRUE,-71.28434691,44.06306306,1,280,0.767123288,4.443243929,1.917119137,1.39182212,23.85272263,0.206880863,9.740153634,0.355224336,22.75555556,4.06,0.729123206,15.10074243,0.930031382,24.38287455,26.21726001,-3.7,-28.2,0.5,47.8,95.6,30.6
65,BART,17,524,ACRU,53.1,TRUE,TRUE,-71.28434691,44.06306306,1,280,0.767123288,4.011408202,2.744188373,1.988373897,33.14076852,-0.053188373,-1.976528155,0.524792828,22.75555556,4.06,0.729123206,15.10074243,0.930031382,24.38287455,26.21726001,-3.7,-28.2,0.5,47.8,95.6,30.6
66,BART,17,526,ACRU,53.1,TRUE,TRUE,-71.28434691,44.06306306,1,280,0.767123288,4.414807521,2.2046011,1.506734454,25.44496789,0.0093989,0.424521206,0.382771129,22.75555556,4.06,0.729123206,15.10074243,0.930031382,24.38287455,26.21726001,-3.7,-28.2,0.5,47.8,95.6,30.6
67,BART,17,527,ACRU,53.1,TRUE,TRUE,-71.28434691,44.06306306,1,280,0.767123288,4.015861482,2.219996201,2.004510123,33.29545507,0.048003799,2.11656963,0.527812285,22.75555556,4.06,0.729123206,15.10074243,0.930031382,24.38287455,26.21726001,-3.7,-28.2,0.5,47.8,95.6,30.6
68,BART,17,529,ACRU,53.1,TRUE,TRUE,-71.28434691,44.06306306,1,280,0.767123288,4.777266922,2.271279122,1.354288016,22.08718717,-0.039279122,-1.759817307,0.325345056,22.75555556,4.06,0.729123206,15.10074243,0.930031382,24.38287455,26.21726001,-3.7,-28.2,0.5,47.8,95.6,30.6
